Normative position,Human exceptionalism,Naturalized human distinctiveness,Total naturalism,Dominion,Stewarship/Responsability,equality,Reverence for nature,Pristine nature,Nature with some alteration,Domestic nature,Biophobia,Biophilia,Unconcerned,Intrinsic,Instrumental,Relational,No intervention,Light intervention,Directed intervention,Biotechnology,Technical,Scientific (Academic),Indigenous,democratic (local),Economic (market)
Survivalism ,Pros,Pros,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Cons,Pros,Neutral,Neutral,Pros,Cons,Cons,Cons
Promethean environmentalism,Pros,Neutral,Neutral,Pros,Cons,Neutral,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Pros,Pros,Neutral,Pros,Neutral,Neutral,Pros,Neutral,Neutral,Pros,Pros,Pros
Adminitrative rationalism,Pros,Neutral,Cons,Neutral,Neutral,Cons,Neutral,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Pros,Neutral,Neutral,Pros,Pros,Neutral,Neutral,Neutral
Democratic pragmatism,Pros,Neutral,Cons,Neutral,Neutral,Cons,Neutral,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Pros,Pros,Neutral
Economic rationalism  ,Pros,Neutral,Cons,Pros,Pros,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Pros
Sustainable development,Pros,Neutral,Cons,Neutral,Pros,Cons,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Pros,Pros,Pros,Pros,Pros,Pros,Pros
Ecological modernization,Pros,Neutral,Cons,Neutral,Pros,Cons,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Pros,Pros,Pros,Pros,Neutral,Neutral,Pros
Green radicalism,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Gray radicalism,Pros,Neutral,Cons,Pros,Cons,Neutral,Cons,Neutral,Neutral,Pros,Neutral,Neutral,Pros,Neutral,Pros,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
"Conserving biodiversity, reducing degradation; ",Cons,Pros,Cons,Cons,Neutral,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Cons,Pros,Cons,Cons,Neutral
"Local and indigenous peoples, biodiversity-friendly development;",Cons,Cons,Cons,Neutral,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Pros,Pros,Cons,Cons,Pros,Pros,Neutral,Pros,Pros,Cons,Cons,Neutral
Climate adaptation and disaster risk reduction.,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Cons,Cons,Pros,Neutral,Neutral
Management of changing ,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Innovation in Nature ,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral
Protection of Threatened ,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Cons,Neutral
Re-establishment of Wild Nature,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral
Mainstream Conservation ,Pros,Cons,Cons,Cons,Cons,Cons,Pros,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Neutral,Pros,Pros,Neutral,Cons,Neutral
Neoprotectionism ,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Pros,Cons,Neutral,Pros,Pros,Neutral,Cons,Neutral
New Conservation,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Pros,Pros,Neutral,Cons,Pros
